time,FL,FR,RL,RR
43.125513792,59.000000000,57.000000000,74.000000000,17.000000000
43.125513792,59.000000000,57.000000000,74.000000000,17.000000000
43.125513792,50.000000000,57.000000000,72.000000000,34.000000000
43.125513792,50.000000000,57.000000000,72.000000000,34.000000000
43.125513792,50.000000000,52.000000000,72.000000000,61.000000000
43.125513792,50.000000000,52.000000000,72.000000000,61.000000000
43.125513792,46.000000000,49.000000000,72.000000000,61.000000000
43.125513792,46.000000000,49.000000000,72.000000000,61.000000000
43.125513792,45.000000000,49.000000000,66.000000000,56.000000000
43.125513792,45.000000000,49.000000000,66.000000000,56.000000000
43.125513792,45.000000000,48.000000000,66.000000000,56.000000000
43.150520086,42.000000000,48.000000000,54.000000000,52.000000000
43.150520086,42.000000000,48.000000000,54.000000000,52.000000000
43.150520086,42.000000000,42.000000000,54.000000000,52.000000000
43.150520086,42.000000000,42.000000000,49.000000000,47.000000000
43.150520086,42.000000000,42.000000000,49.000000000,47.000000000
43.150520086,42.000000000,42.000000000,49.000000000,47.000000000
43.150520086,42.000000000,42.000000000,45.000000000,47.000000000
43.150520086,42.000000000,41.000000000,45.000000000,47.000000000
43.150520086,42.000000000,41.000000000,45.000000000,47.000000000
43.150520086,42.000000000,41.000000000,45.000000000,47.000000000
43.150520086,45.000000000,38.000000000,42.000000000,47.000000000
43.150520086,45.000000000,38.000000000,42.000000000,47.000000000
43.175529480,49.000000000,38.000000000,41.000000000,46.000000000
43.175529480,49.000000000,38.000000000,41.000000000,46.000000000
43.175529480,49.000000000,37.000000000,41.000000000,52.000000000
43.175529480,49.000000000,37.000000000,41.000000000,52.000000000
43.175529480,53.000000000,36.000000000,41.000000000,52.000000000
43.175529480,53.000000000,36.000000000,41.000000000,52.000000000
43.175529480,53.000000000,36.000000000,42.000000000,49.000000000
43.175529480,53.000000000,32.000000000,42.000000000,49.000000000
43.175529480,53.000000000,32.000000000,42.000000000,52.000000000
43.175529480,54.000000000,32.000000000,42.000000000,52.000000000
43.175529480,54.000000000,26.000000000,36.000000000,52.000000000
43.175529480,54.000000000,26.000000000,36.000000000,52.000000000
43.175529480,54.000000000,26.000000000,32.000000000,56.000000000
43.225506306,54.000000000,21.000000000,30.000000000,55.000000000
43.225506306,54.000000000,19.000000000,30.000000000,55.000000000
43.225506306,54.000000000,19.000000000,30.000000000,55.000000000
43.225506306,56.000000000,19.000000000,30.000000000,57.000000000
43.225506306,56.000000000,16.000000000,25.000000000,57.000000000
43.225506306,56.000000000,16.000000000,25.000000000,57.000000000
43.225506306,57.000000000,16.000000000,19.000000000,60.000000000
43.225506306,57.000000000,16.000000000,19.000000000,60.000000000
